idFilaPedido;idWebService;idLoja;idCabecPedido;idFilaCliente;empresa;pedidoCliente;pedidoJund;respostaJundPedido;respostaJundEnderecoEntrega;respostaJundItensPedido;respostaJundPedidoSerial;respostaJundConfirmaPagtoPedido;respostaJundRastreamentoPedido;idStatusIntegracao;dataHoraEntradaFila;dataHoraProcessadoPedido;dataHoraProcessadoPedidoSerial;dataHoraProcessadoConfirmaPagtoPedido;ultimaDataHoraRastreamentoPedido;rastreamentoFinalizado;importacaoImeiFinalizada;respostaServiceAtualizacaoPedidoERP;notaFiscal;subId;ultimoStatusRastreamentoPedidoOI;statusSiteIntegracaoAtualizado;reprocessarPedido;ultimoStatusResumidoRastreamentoPedidoOI;engenhariaReversa;pedidoJundDesmembrado;duplicidadeValidada;respostaJundCliente;tipoPagamento;dadosPedidoGravado;importacaoOcorrenciaFinalizada;pedidoJundDesmembradoJaImportado;informacoesValidadas;pedidoLiberadoParaRastreamento;pedidoJundDesmembradoEncontrado;idModoIntegracao;pedidoOiIntegradoSite;chaveUnica;idLojaAntigo;pedidoCancelado
253337;1;24;252779;269327;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 18:00:13.607;2018-08-01 18:00:50.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253336;1;24;252778;269326;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 18:00:11.530;2018-08-01 18:00:50.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253335;1;32;252777;269325;222;30527905;15695;OK;OK;OK;;;;4;2018-08-01 17:50:24.770;2018-08-01 17:50:49.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253334;1;16;252776;269322;222;30501781;15694;OK;OK;OK;;;;4;2018-08-01 17:45:16.897;2018-08-01 17:45:50.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253333;1;24;252775;269324;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 17:45:08.373;2018-08-01 17:45:49.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253332;1;24;252774;269323;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 17:45:06.037;2018-08-01 17:45:49.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253331;1;24;252773;269321;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 17:30:16.517;2018-08-01 17:30:49.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253330;1;24;252772;269320;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 17:30:14.207;2018-08-01 17:30:49.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253329;1;24;252771;269319;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 17:16:20.867;2018-08-01 17:16:00.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253328;1;24;252770;269318;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 17:16:18.370;2018-08-01 17:16:00.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253327;1;38;252769;269317;222;30527171;15693;OK;OK;OK;;;;4;2018-08-01 17:11:43.330;2018-08-01 17:11:01.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253326;1;38;252768;269316;222;30524756;15692;OK;OK;OK;;;;4;2018-08-01 17:11:42.253;2018-08-01 17:11:01.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253325;1;34;252767;269315;222;30524376;15691;OK;OK;OK;;;;4;2018-08-01 17:11:41.223;2018-08-01 17:11:01.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253324;1;19;252766;269314;222;30527170;15690;OK;OK;OK;;;;4;2018-08-01 17:11:40.210;2018-08-01 17:11:00.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253323;1;19;252765;269313;222;30521768;15689;OK;OK;OK;;;;4;2018-08-01 17:11:39.210;2018-08-01 17:11:00.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253322;1;32;252764;269312;222;30502149;15688;OK;OK;OK;;;;4;2018-08-01 17:11:38.180;2018-08-01 17:11:00.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253321;1;32;252763;269311;222;30513174;15687;OK;OK;OK;;;;4;2018-08-01 17:11:37.010;2018-08-01 17:11:00.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253320;1;24;252762;269310;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 17:01:23.550;2018-08-01 17:00:57.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253319;1;24;252761;269309;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 17:01:21.507;2018-08-01 17:00:57.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253318;1;3;252760;269308;29;30475762;178000;OK;OK;OK;;;;4;2018-08-01 16:51:39.693;2018-08-01 16:50:58.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253317;1;34;252759;269307;222;30518607;15686;OK;OK;OK;;;;4;2018-08-01 16:51:37.573;2018-08-01 16:50:57.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253316;1;24;252758;269306;29;13200939;;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDLN0015] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 16:46:20.447;2018-08-01 16:45:58.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253315;1;24;252757;269305;26;13189521;;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;OK;PRODUTO [TCDS1022] BLOQUEADO PARA VENDA.;;;;5;2018-08-01 16:46:18.230;2018-08-01 16:45:58.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
253314;1;32;252756;269304;222;30526611;15685;OK;OK;OK;;;;4;2018-08-01 16:41:41.897;2018-08-01 16:40:57.000;NULL;NULL;NULL;0;0;;;0;;0;0;;0;;0;;;1;0;0;0;0;0;3;0;NULL;NULL;0
