E	Pedido	Jund	Status	Data
26	13125771		INSUCESSO	2018-07-03 12:46:11.820
26	13125771		INSUCESSO	2018-07-03 12:31:09.673
26	13125771		INSUCESSO	2018-07-03 12:16:27.570
26	13157299		DUPLICIDADE	2018-07-03 12:16:06.060
26	13125771		INSUCESSO	2018-07-03 12:01:15.063
26	13157299	498300	SUCESSO	2018-07-03 12:01:04.703
26	13125771		INSUCESSO	2018-07-03 11:46:07.033
26	13125771		INSUCESSO	2018-07-03 11:31:07.817
26	13125771		INSUCESSO	2018-07-03 11:16:08.740
26	13125771		INSUCESSO	2018-07-03 11:01:24.157
26	13125771		INSUCESSO	2018-07-03 10:46:07.233
26	13125771		INSUCESSO	2018-07-03 10:31:06.923
26	13125771		INSUCESSO	2018-07-03 10:16:07.363
26	13125771		INSUCESSO	2018-07-03 10:01:06.977
26	13125771		INSUCESSO	2018-07-03 09:46:06.623
26	13125771		INSUCESSO	2018-07-03 09:31:06.980
26	13125771		INSUCESSO	2018-07-03 09:16:05.967
26	13125771		INSUCESSO	2018-07-03 09:01:07.473
26	13125771		INSUCESSO	2018-07-03 08:46:06.587
26	13125771		INSUCESSO	2018-07-03 08:31:07.100
26	13125771		INSUCESSO	2018-07-03 08:16:05.550
26	13125771		INSUCESSO	2018-07-03 08:01:05.660
26	13125771		INSUCESSO	2018-07-03 07:46:05.580
26	13125771		INSUCESSO	2018-07-03 07:31:05.120
26	13125771		INSUCESSO	2018-07-03 07:16:08.527
26	13125771		INSUCESSO	2018-07-03 07:01:06.440
26	13125771		INSUCESSO	2018-07-03 06:46:05.677
26	13125771		INSUCESSO	2018-07-03 06:31:05.540
26	13125771		INSUCESSO	2018-07-03 06:16:06.410
26	13125771		INSUCESSO	2018-07-03 06:01:07.123
26	13125771		DUPLICIDADE	2018-07-03 05:46:05.550
26	13125771		DUPLICIDADE	2018-07-03 05:31:05.610
26	13125771		DUPLICIDADE	2018-07-03 05:16:05.427
26	13125771		DUPLICIDADE	2018-07-03 05:01:14.203
26	13125771		DUPLICIDADE	2018-07-03 04:46:04.797
26	13125771		DUPLICIDADE	2018-07-03 04:31:04.937
26	13125771		DUPLICIDADE	2018-07-03 04:16:05.960
26	13125771		DUPLICIDADE	2018-07-03 04:01:05.667
26	13125771		DUPLICIDADE	2018-07-03 03:46:05.350
26	13125771		DUPLICIDADE	2018-07-03 03:31:05.453
26	13125771		DUPLICIDADE	2018-07-03 03:16:05.380
26	13125771		DUPLICIDADE	2018-07-03 03:01:06.630
26	13125771		DUPLICIDADE	2018-07-03 02:46:04.693
26	13125771		DUPLICIDADE	2018-07-03 02:31:06.917
26	13125771		DUPLICIDADE	2018-07-03 02:16:04.900
26	13125771		DUPLICIDADE	2018-07-03 02:01:06.747
26	13125771		DUPLICIDADE	2018-07-03 01:46:04.633
26	13125771		DUPLICIDADE	2018-07-03 01:31:05.847
26	13125771		DUPLICIDADE	2018-07-03 01:16:04.993
26	13125771		DUPLICIDADE	2018-07-03 01:01:06.433
26	13125771		DUPLICIDADE	2018-07-03 00:46:04.910
26	13125771		DUPLICIDADE	2018-07-03 00:31:06.857
26	13125771		DUPLICIDADE	2018-07-03 00:16:10.467
26	13125771		DUPLICIDADE	2018-07-03 00:01:07.323
26	13125771		DUPLICIDADE	2018-07-02 23:46:05.637
26	13125771		DUPLICIDADE	2018-07-02 23:31:04.833
26	13125771		DUPLICIDADE	2018-07-02 23:16:06.593
26	13125771		DUPLICIDADE	2018-07-02 23:01:11.650
26	13125771		DUPLICIDADE	2018-07-02 22:46:11.407
26	13125771		DUPLICIDADE	2018-07-02 22:31:06.580
26	13125771		DUPLICIDADE	2018-07-02 22:16:14.327
26	13125771		INSUCESSO	2018-07-02 22:01:05.877
26	13125771		INSUCESSO	2018-07-02 21:46:05.103
26	13125771		INSUCESSO	2018-07-02 21:31:09.463
26	13125771		INSUCESSO	2018-07-02 21:16:06.040
26	13125771		INSUCESSO	2018-07-02 21:01:05.323
26	13125771		INSUCESSO	2018-07-02 20:46:04.950
26	13125771		INSUCESSO	2018-07-02 19:31:06.537
26	13125771		INSUCESSO	2018-07-02 19:16:07.773
26	13125771		INSUCESSO	2018-07-02 19:01:22.163
26	13125771		INSUCESSO	2018-07-02 18:46:04.667
26	13125771		INSUCESSO	2018-07-02 18:31:05.983
26	13125771		INSUCESSO	2018-07-02 18:16:06.243
26	13125771		INSUCESSO	2018-07-02 18:01:07.037
26	13125771		INSUCESSO	2018-07-02 17:46:07.083
26	13125771		INSUCESSO	2018-07-02 17:31:05.363
26	13125771		INSUCESSO	2018-07-02 17:16:06.860
26	13125771		INSUCESSO	2018-07-02 17:01:07.453
26	13125771		INSUCESSO	2018-07-02 16:46:05.177
26	13125771		INSUCESSO	2018-07-02 16:31:05.100
26	13125771		INSUCESSO	2018-07-02 16:16:05.817
26	13125771		INSUCESSO	2018-07-02 16:01:07.527
26	13125771		INSUCESSO	2018-07-02 15:46:08.857
26	13125771		INSUCESSO	2018-07-02 15:31:10.117
26	13125771		INSUCESSO	2018-07-02 15:16:06.657
26	13125771		INSUCESSO	2018-07-02 15:01:09.837
26	13125771		INSUCESSO	2018-07-02 14:46:05.740
26	13125771		INSUCESSO	2018-07-02 14:31:04.850
26	13125771		INSUCESSO	2018-07-02 14:16:06.150
26	13125771		INSUCESSO	2018-07-02 14:01:06.590
26	13125771		INSUCESSO	2018-07-02 13:46:05.300
26	13125771		INSUCESSO	2018-07-02 13:31:04.820
26	13125771		INSUCESSO	2018-07-02 13:16:04.620
26	13125771		INSUCESSO	2018-07-02 13:01:04.967
26	13125771		INSUCESSO	2018-07-02 12:46:06.793
26	13125771		INSUCESSO	2018-07-02 12:31:05.050
26	13125771		INSUCESSO	2018-07-02 12:16:09.700
26	13127251		DUPLICIDADE	2018-07-01 23:46:03.297
26	13127251		DUPLICIDADE	2018-07-01 23:31:03.863
26	13127251		DUPLICIDADE	2018-07-01 23:16:04.497
26	13127251		DUPLICIDADE	2018-07-01 23:01:04.600
26	13127251		DUPLICIDADE	2018-07-01 22:46:04.667
26	13127251		DUPLICIDADE	2018-07-01 22:31:06.197
26	13127251		DUPLICIDADE	2018-07-01 22:16:06.637
26	13127251		INSUCESSO	2018-07-01 22:01:03.317
